min_cluster_size,min_samples,epsilon,method,n_clusters,n_noise,noise_pct,size_min,size_p10,size_median,size_p90,size_max,size_mean,coh_median,coh_p10,coh_min,in_target
200,1,0.0,eom,148,145634,57.26024919693163,200,217.1,411.0,1566.4,4430,734.4797297297297,0.7798661291599274,0.7177529811859131,0.626107394695282,False
200,1,0.2,eom,10,9905,3.8944392675859194,200,239.6,721.5,25535.499999999916,237490,24443.2,0.7462712824344635,0.5706086456775665,0.5543187856674194,False
200,25,0.0,eom,112,140437,55.21689726622552,203,233.20000000000002,500.0,2042.3000000000006,10944,1016.9642857142857,0.7731519341468811,0.7081389546394348,0.6290239691734314,True
200,25,0.2,eom,23,51718,20.33443816668436,203,244.4,711.0,3517.4000000000005,166556,8809.521739130434,0.7251961827278137,0.6355784058570861,0.5587970614433289,False
500,1,0.0,eom,3,2073,0.8150603333372651,1078,1114.4,1260.0,200192.80000000002,249926,84088.0,0.7308757305145264,0.5879250526428222,0.5521873831748962,False
500,1,0.2,eom,3,2073,0.8150603333372651,1078,1114.4,1260.0,200192.80000000002,249926,84088.0,0.7308757305145264,0.5879250526428222,0.5521873831748962,False
500,25,0.0,eom,52,124494,48.94844242088253,562,677.5,1280.0,4485.099999999999,21389,2496.980769230769,0.7468210160732269,0.6668802380561829,0.6093348264694214,False
500,25,0.2,eom,13,54444,21.406244470918505,682,737.2,1210.0,14339.80000000001,166556,15376.384615384615,0.7196512818336487,0.5869905591011048,0.5587970614433289,False
1000,1,0.0,eom,3,2073,0.8150603333372651,1078,1114.4,1260.0,200192.80000000002,249926,84088.0,0.7308757305145264,0.5879250526428222,0.5521873831748962,False
1000,1,0.2,eom,3,2073,0.8150603333372651,1078,1114.4,1260.0,200192.80000000002,249926,84088.0,0.7308757305145264,0.5879250526428222,0.5521873831748962,False
1000,25,0.0,eom,3,1903,0.7482198814958106,1078,1114.4,1260.0,200328.80000000002,250096,84144.66666666667,0.7308757305145264,0.5879073143005371,0.5521652102470398,False
1000,25,0.2,eom,3,1903,0.7482198814958106,1078,1114.4,1260.0,200328.80000000002,250096,84144.66666666667,0.7308757305145264,0.5879073143005371,0.5521652102470398,False
2000,1,0.0,eom,20,120585,47.411505207657555,2099,2355.6,4350.5,8554.200000000003,42025,6687.6,0.6985140740871429,0.6474741518497467,0.6303461790084839,False
2000,1,0.2,eom,2,54824,21.55565253974058,8413,26681.7,99756.5,172831.3,191100,99756.5,0.6067520081996918,0.5634726226329804,0.5526527762413025,False
2000,25,0.0,eom,19,105732,41.57161561235684,2052,2575.0,3913.0,21638.0,34619,7821.315789473684,0.6793432235717773,0.6515860676765441,0.5590560436248779,False
2000,25,0.2,eom,5,46370,18.2317161875779,2647,2851.0,3735.0,115658.60000000002,181437,41593.4,0.634303867816925,0.5584933161735535,0.5581181645393372,False
