KMeans k=120 on UMAP coords (254337, 15)
Total points: 254,337
Sizes: min=18 max=4738 median=2136 mean=2119.5 std=1177.6

  rank  cluster     size   cent_norm
  --------------------------------------
     0       24     4738     23.0292
     1       31     4506     23.3255
     2        9     4502     23.1230
     3       12     4406     24.3837
     4      104     4181     24.0883
     5       36     4153     25.3318
     6       71     4065     24.2730
     7       21     3809     23.2430
     8       40     3772     23.1196
     9       94     3761     23.5178
    10       25     3666     24.2840
    11        2     3661     23.6918
    12       39     3613     25.1009
    13       69     3584     24.4627
    14       14     3526     23.0678
    15       70     3476     24.2729
    16       16     3475     24.1940
    17       78     3416     23.3268
    18       32     3351     23.3770
    19      114     3264     23.4476
    20       73     3230     24.5157
    21       43     3229     24.4459
    22        5     3208     23.4751
    23       81     3208     24.4095
    24       10     3205     25.1798
    25       67     3170     23.2137
    26       57     3160     24.2845
    27       28     3138     24.3333
    28        6     3137     23.6468
    29        4     3079     24.8530
    30        3     2958     24.3059
    31      117     2906     24.3406
    32       41     2891     24.2552
    33       52     2882     24.2642
    34       38     2844     23.3059
    35       80     2833     24.8375
    36       86     2797     24.1458
    37       47     2741     23.4935
    38        8     2739     24.9071
    39       49     2715     23.5331
    40       46     2713     24.1448
    41       95     2610     24.9405
    42      118     2597     24.5294
    43       96     2589     24.2984
    44      115     2557     24.5382
    45       23     2520     23.3456
    46      109     2520     24.7125
    47       19     2386     25.2556
    48       62     2354     23.9501
    49       35     2341     23.1565
    50       84     2322     24.4311
    51       58     2317     24.5362
    52       20     2304     24.1796
    53        0     2294     23.0683
    54        7     2271     24.0998
    55      113     2239     24.9340
    56      116     2232     24.4518
    57       82     2199     24.0068
    58       11     2175     23.8693
    59       27     2170     23.6576
    60       98     2102     25.1551
    61       99     2100     25.3573
    62       33     2093     24.5363
    63       75     2072     24.4938
    64       26     2069     24.2568
    65        1     2068     24.5702
    66       68     2040     23.4005
    67      103     2016     24.3925
    68       61     1978     23.2839
    69      111     1971     23.5094
    70      101     1946     23.2155
    71       85     1908     23.9208
    72       93     1903     25.0022
    73       83     1903     23.3476
    74       59     1787     23.9751
    75       15     1783     24.8727
    76       44     1752     23.3224
    77       64     1627     23.9226
    78       97     1583     24.1823
    79      110     1560     24.1304
    80      106     1528     25.2394
    81       51     1513     23.3288
    82       48     1508     23.0279
    83       74     1486     24.4384
    84      105     1476     24.2952
    85       88     1442     23.5350
    86       76     1401     24.1823
    87       53     1389     25.1951
    88      100     1376     23.4383
    89       30     1342     23.9980
    90       17     1260     23.9869
    91       50     1217     23.4967
    92       87     1208     23.7412
    93       90     1162     23.2126
    94       34     1144     23.8437
    95       37     1085     23.7395
    96       29     1078     23.4454
    97      107     1047     23.2356
    98       91     1010     25.3694
    99       66      991     23.2920
   100       56      932     23.6447
   101       13      898     23.7526
   102      108      791     24.4535
   103      119      440     24.1836
   104       54      414     25.4020
   105       79      372     24.7819
   106      112      371     23.7108
   107       63      354     25.2812
   108       60      244     25.1026
   109       18      158     26.3596
   110       72      138     23.2213
   111       22      135     20.9305
   112      102      130     24.7041
   113       89       92     26.7502
   114       92       54     24.4452
   115       65       53     20.0009
   116       55       48     26.7035
   117       42       35     21.7297
   118       77       31     21.2189
   119       45       18     27.0285
